,Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,geom,city
402293,Pau Claris 179 Eixample 08037 Barcelona Spain,56,10/13/2016,9.6,H10 Casa Mimosa 4 Sup, Australia , As this is a new hotel the facilities were not fully operational such as the roof top bar however we look forward to returning one day and experiencing everything the hotel has to offer ,36,454, Having opened the day before our arrival we were unsure of what to expect at Casa Mimosa and we were not disappointed The staff were efficient and friendly and their aim was to ensure the comfort of all guests Our favourite place was the outdoor courtyard area a popular area to enjoy the delicious breakfast included during our stay A bonus was the view of La Pedrera s spectacular rooftop by day and night Thank you Casa Mimosa ,80,1,9.2,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Room 2 Adults 1 Child ', ' Stayed 2 nights ']",294 day,41.3962106,2.1621171,"41.3962106,2.1621171",Barcelona
490037,Via Senigallia 6 20161 Milan Italy,904,5/3/2016,8.1,Hotel Da Vinci, Netherlands , Hotel is actually refurbished residential building Breakfast not tasty,10,16670, Close to city transport network Interior looks modern Rooms quite big,12,36,7.5,"[' Leisure trip ', ' Family with young children ', ' Quadruple Room ', ' Stayed 2 nights ']",457 day,45.533137200000006,9.1711019,"45.533137200000006,9.1711019",Milano
304907,Corso Magenta 19 Milan City Center 20123 Milan Italy,100,7/2/2016,7.3,Mokinba Hotels King, United Kingdom , The staff was a bit unwelcoming ,8,1291, It was just ok nothing great or bad ,10,9,5.8,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",397 day,45.4656023,9.1778675,"45.4656023,9.1778675",Milano
280628,Avinguda Catedral 7 Ciutat Vella 08002 Barcelona Spain,170,10/13/2016,8.9,Col n Hotel Barcelona, United States of America , Just too noisy the view of the Cathedral came with a lot of activity well until 3AM Could hear people out on the square 4 floors up Not big on soundproofing ,33,1300, The staff were friendly and helpful The view from the room was wonderful ,15,27,8.3,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room with View ', ' Stayed 2 nights ']",294 day,41.38496129999999,2.1756666,"41.38496129999999,2.1756666",Barcelona
113043,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,8/7/2015,7.5,Hilton London Metropole, United Kingdom , We were given an occupied room to start with but it was changed immediately and upgraded ,18,6977, Very helpful staff Excellent location for a concert at Wembley stadium ,13,1,10.0,"[' Leisure trip ', ' Couple ', ' King Hilton Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",727 day,51.519568799999995,-0.170521,"51.519568799999995,-0.170521",City of Westminster
318128,Empire Way Wembley Brent London HA9 8DS United Kingdom,1005,6/19/2016,8.3,Holiday Inn London Wembley, United Kingdom , Nothing,2,3469, Friendly staff,3,3,8.8,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",410 day,51.559095500000005,-0.284704,"51.559095500000005,-0.284704",London
226282,626 Chiswick High St Chiswick London W4 5RY United Kingdom,562,5/11/2017,8.5,Clayton Hotel Chiswick, United Kingdom , Free parking on site as you can park outside for free at night for free anyway ,18,1944, Lovely large comfy bed En suite and bedroom nice and clean ,13,2,9.2,"[' Business trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ']",84 days,51.4924184,-0.27847009999999994,"51.4924184,-0.27847009999999994",London
124547,26 Cadogan Gardens Kensington and Chelsea London SW3 2RP United Kingdom,48,10/8/2016,9.2,Draycott Hotel, United States of America , Wifi was a bit dodgy at times but mostly fine ,12,245, Lovely staff amazing location cute single rooms for reasonable money wonderful afternoon champagne and evening hot chocolate and great little park in back ,25,6,9.6,"[' Leisure trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 4 nights ']",299 day,51.4930097,-0.159715,"51.4930097,-0.159715",London
96602,20 Lavington Street Southwark London SE1 0NZ United Kingdom,804,5/24/2016,9.1,citizenM London Bankside, Sweden , The rooms are small and you have to buy in on the concept of CitizenM hotels The breakfast is great but missing bacon and some sort of vegetables for a full 10 points ,35,3802, The hotel design and friendly staff Free mini bar with water drinks and bars refilled every day ,19,36,9.2,"[' Leisure trip ', ' Family with young children ', ' Double Room ', ' Stayed 2 nights ']",436 day,51.5051507,-0.10047239999999999,"51.5051507,-0.10047239999999999",London
168587,38 rue de l Echiquier 10th arr 75010 Paris France,89,5/23/2017,9.1,H tel L Echiquier Op ra Paris MGallery by Sofitel, United Kingdom , no english speaking staff at breakfast,7,666, the banana caramel cake at breakfast,7,17,8.8,"[' Business trip ', ' Solo traveler ', ' Classic Room with Queen Bed ', ' Stayed 1 night ']",72 days,48.8719889,2.3492912999999995,"48.8719889,2.3492912999999995",Paris
148406,31 St Thomas Street Southwark London SE1 9QU United Kingdom,732,3/15/2016,9.4,Shangri La Hotel at The Shard London, United Kingdom , Would have preferred to be sat at a proper table for dinner so we could see the view,19,2200, Amazing view Great staff,5,1,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe King Room with City View ', ' Stayed 1 night ', ' Submitted from a mobile device ']",506 day,51.5044972,-0.0855562,"51.5044972,-0.0855562",London
215614,57 59 Welbeck Street Westminster Borough London W1G 9BL United Kingdom,241,12/24/2016,7.5,Holiday Inn London Oxford Circus, United Kingdom , I would like to mention the bacon for breakfast is too salt ,14,1287, All is good ,5,1,10.0,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",222 day,51.516843,-0.14955739999999998,"51.516843,-0.14955739999999998",City of Westminster
223825,61 Lincoln s Inn Fields Camden London WC2A 3JW United Kingdom,681,5/7/2017,8.9,Club Quarters Hotel Lincoln s Inn Fields, United Kingdom , Only three pillows and very heavy quilt Not enough coffee and milk ,14,2692, Great location and comfortable bed with good seating in room ,12,2,6.7,"[' Leisure trip ', ' Couple ', ' Small Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",88 days,51.516098799999995,-0.1181749,"51.516098799999995,-0.1181749",City of Westminster
353116,K rntner Ring 9 01 Innere Stadt 1010 Vienna Austria,165,7/15/2017,9.0,Grand Hotel Wien, United Arab Emirates , Stuff not clean,4,1375, Location,2,15,5.0,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",19 days,48.202110499999996,16.3720841,"48.202110499999996,16.3720841",Wien
186395,41 Queens Gate Gardens Kensington and Chelsea London SW7 5NB United Kingdom,202,12/25/2015,8.0,Grange Strathmore Hotel, United Kingdom , Did not stay long enough,6,984, The location was excellant,5,3,8.8,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",587 day,51.4958184,-0.1813958,"51.4958184,-0.1813958",London
472041,Via Camperio 9 Milan City Center 20123 Milan Italy,67,2/15/2016,8.9,Camperio House Suites Apartments, United Kingdom , stuff in the restaurant didnt speak any languages above on Italian just only one lady short brunette which caused a lots of confusion similar stuff could not take right orders for a business meeting there was not hot water first morning struggled to have warm water,47,567,No Positive,0,6,7.9,"[' Business trip ', ' Solo traveler ', ' Deluxe Double or Twin Room ', ' Stayed 2 nights ']",535 day,45.466598,9.183064,"45.466598,9.183064",Milano
154347,34 37 Bedford Place Bloomsbury Camden London WC1B 5JR United Kingdom,171,9/28/2016,8.1,Grange Clarendon Hotel, United Kingdom , only one person on reception and there was a queue to check in,14,823, great location room very comfortable,6,5,7.9,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ']",309 day,51.519793299999996,-0.1241844,"51.519793299999996,-0.1241844",London
204117,50 Berners Street Westminster Borough London W1T 3NG United Kingdom,260,4/13/2017,9.0,Sanderson A Morgans Hotel, South Africa , Like it all ,5,886, Delicious breakfast with excellent viennoiseries Very comfortable bed Outstanding staff This is a Millenial hotel top class Glamourous decor and great gym facilities and spa ,27,4,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",112 day,51.5174853,-0.1372109,"51.5174853,-0.1372109",City of Westminster
289183,Breite Gasse 9 07 Neubau 1070 Vienna Austria,199,9/21/2016,8.4,Hotel ViennArt am Museumsquartier, Latvia , Nothing,2,2692, This hotel is not luxurious but very comfortable Excellent location close to the famous museums and the metro nice room with good light and enough electrical outlets TV with many channels in different languages a rich breakfast friendly service reasonable price compared to other hotels A nice feature tea coffee and juices are available for the guests as a bonus all day until midnight ,66,7,10.0,"[' Business trip ', ' Solo traveler ', ' Double Room Single Use ', ' Stayed 4 nights ']",316 day,48.2035677,16.356445,"48.2035677,16.356445",Wien
511908,Wiedner Hauptstr 27 29 04 Wieden 1040 Vienna Austria,279,8/25/2015,8.8,Hotel Erzherzog Rainer, France , Pas d air conditionn No AC ,8,3598,No Positive,0,1,7.1,"[' Leisure trip ', ' Group ', ' Special Offer Queen Room ', ' Stayed 4 nights ']",709 day,48.1953229,16.367288199999997,"48.1953229,16.367288199999997",Wien
390254,One Eastern Gateway Royal Victoria Dock Newham London E16 1FR United Kingdom,694,3/13/2016,8.7,Aloft London Excel, United Kingdom , I didn t like that I didn t get a robe on my visit they had ran out and the TVs in the room wasn t free to watch ,31,2332, The pool and steam room was nice and also the room,12,1,7.9,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",508 day,51.5083719,0.035576800000000006,"51.5083719,0.035576800000000006",London
433407,Ronda Sant Pere 9 Eixample 08010 Barcelona Spain,198,7/30/2017,9.4,Catalonia Square 4 Sup, United Arab Emirates ,No Negative,0,1711, The attention to details from the welcome basket to the cleanliness the pool the staff the decor the location I wanted to stay longer ,26,14,10.0,"[' Leisure trip ', ' Solo traveler ', ' Superior Double or Twin Room with Terrace ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",4 days,41.3885658,2.1712991,"41.3885658,2.1712991",Barcelona
469336,Valencia 157 Eixample 08011 Barcelona Spain,230,8/11/2016,8.2,Sunotel Club Central, United States of America , Woke one morning and there was feces on the floor outside our room and rubbed on the door Staff was very apologetic Offered us free breakfast and provided a bottle of Cava Would have preferred a discount on the room ,42,2836,No Positive,0,1,7.1,"[' Leisure trip ', ' Couple ', ' Basic Double Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",357 day,41.38793,2.1568061000000003,"41.38793,2.1568061000000003",Barcelona
62531,16 London Street Paddington Westminster Borough London W2 1HL United Kingdom,114,1/17/2017,8.7,Hotel Indigo London Paddington, United Kingdom , everything was great ,5,602, The room was compact but very comfortable and spotlessly clean The bathroom was very spacious and stylish amazing shower and again absolutely spotless Staff were friendly breakfast was plentiful Overall a lovely stay Location was perfect for our purposes ,41,2,9.6,"[' Leisure trip ', ' Couple ', ' Standard Compact Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",198 day,51.5150534,-0.1739974,"51.5150534,-0.1739974",City of Westminster
15414,1 Waterview Drive Greenwich London SE10 0TW United Kingdom,1258,9/19/2016,9.4,Intercontinental London The O2, United Kingdom , Trip hazard going from room to bathroom Reported this on check out some windows at the approach to the hotel were cracked The walk from and to the tube station was not the safest due to what looks like unfinished paths Maybe a shuttle bus would be an improvement The cost of items in the mini bar 3 50 for a KITKAT Calling the hotel when using the automated service to speak to the right person No one answers the phone ,83,4204, Friendly staff Good selection at breakfast A nice surprise in our room due to a celebration ,18,2,7.1,"[' Leisure trip ', ' Couple ', ' Superior King Room ', ' Stayed 1 night ']",318 day,51.5024348,-0.0002497,"51.5024348,-0.0002497",London
455340,South Quay Marsh Wall Tower Hamlets London E14 9SH United Kingdom,974,6/14/2016,9.0,Hilton London Canary Wharf, United Kingdom ,No Negative,0,3040, Staff very friendly and helpful Clean comfy room Food excellent ,12,1,10.0,"[' Leisure trip ', ' Couple ', ' Double Guest Room ', ' Stayed 1 night ']",415 day,51.5007324,-0.01655,"51.5007324,-0.01655",London
138315,3 Westbourne Terrace Lancaster Gate Westminster Borough London W2 3UL United Kingdom,47,10/11/2016,8.7,The Royal Park Hotel, New Zealand ,No Negative,0,331, The hotel was very comfortable room not large but very well furnished We also had a very nice dinner in the hotel dining room,25,9,9.6,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",296 day,51.5142054,-0.17660979999999998,"51.5142054,-0.17660979999999998",City of Westminster
315202,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,321,4/22/2017,8.6,Melia Vienna, Austria , we could hear the undergroung ,7,3557, the view the staff the location,7,26,9.2,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Room ', ' Stayed 1 night ']",103 day,48.231911,16.4129493,"48.231911,16.4129493",Wien
212764,54 Uxbridge Road Shepherds Bush Hammersmith and Fulham London W12 8LP United Kingdom,201,4/30/2017,8.7,W12 Rooms, United Kingdom , The room was not what we expected I booked a double deluxe room and the room in which we stayed seemed very small in comparison to photos ,29,900, Underground station was right on our door step which made it really easy to explore London Very clean and staff were happy to help on arrival ,28,1,7.1,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",95 days,51.5045326,-0.2191174,"51.5045326,-0.2191174",London
377585,Mariahilfer Stra e 32 34 07 Neubau 1070 Vienna Austria,137,4/10/2017,8.4,NH Wien City, Thailand , Too dark in the room and no aircondition ,10,1538, There are 2 parts of the room It s a good devine part ,15,1,7.1,"[' Leisure trip ', ' Family with young children ', ' Family Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",115 day,48.200287200000005,16.3547746,"48.200287200000005,16.3547746",Wien
170247,39 Avenue de l Op ra 2nd arr 75002 Paris France,80,7/20/2016,9.1,Edouard 7 Paris Op ra, United States of America , WiFi was very weak,5,798, We LOVE the Edouard 7 Paris Opera We stayed at 5 hotels in our month long stay in France and this hotel was by far the BEST It is a 5 star hotel in our book and we can t recommend it strongly enough We stayed for 11 nights and it was wonderful Thanks Edouard When we arrived the hotel staff brought us some fresh baked treats and a huge bottle of Evian Nice They gave us a welcome letter and checked on us in the first hour after we arrived to make sure everything was ok and to see if we needed anything Every evening the cleaning staff checked in to see if we needed anything and if the room was cleaned to our satisfaction Nice The staff were wonderful polite and extremely accommodating Our bed was uncomfortable so they brought in an entire new bed for us Wow now that s customer service Any request was immediately responded to with a smile Sometimes it seemed we just hung up and they were already at our door They gave us an upgraded room with a fantastic view It was beautiful The hotel was in a great location There was a wonderful daily breakfast that was included with our stay with a huge selection of delicious food We were very happy with our stay at the Edouard and plan to stay there again It is a fabulous hotel with outstanding customer service 5 stars and A ,248,6,10.0,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 11 nights ']",379 day,48.8683133,2.3330851000000004,"48.8683133,2.3330851000000004",Paris
311968,Delflandlaan 15 Slotervaart 1062 EA Amsterdam Netherlands,947,6/20/2017,8.7,Best Western Premier Hotel Couture, Indonesia , ,2,8177, It s a very good hotel and looks quite new and easy to get around as the tram station is just in front of the hotel ,28,1,7.9,"[' Leisure trip ', ' Family with young children ', ' Standard Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",44 days,52.351113700000006,4.8411629000000005,"52.351113700000006,4.8411629000000005",Amsterdam
315907,Eerste Constantijn Huygensstraat 10A Oud West 1054 BR Amsterdam Netherlands,218,9/29/2016,7.5,Grand Hotel Downtown, Canada , The shower head needed cleaning servicing This seems to a common problem in many hotels ,17,1270, Generally it worked well for our short stay ,10,1,9.2,"[' Leisure trip ', ' Group ', ' Penthouse Suite with Terrace and City View ', ' Stayed 2 nights ']",308 day,52.36513,4.8729422,"52.36513,4.8729422",Amsterdam
247244,8 18 London Bridge St Southwark London SE1 9SG United Kingdom,97,8/19/2016,8.7,London Bridge Hotel, United Kingdom , Fresh unsliced bread is normally standard in a 4 star hotel On offer was pre sliced toast and a few rolls ,23,311, Free newspapers over breakfast ,6,2,8.8,"[' Leisure trip ', ' Couple ', ' Standard Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",349 day,51.505218799999994,-0.088166,"51.505218799999994,-0.088166",London
305378,Corso Sempione 91 Fiera Milano City 20149 Milan Italy,122,3/6/2016,8.5,Enterprise Hotel Design Boutique, Austria ,No Negative,0,1686, The breakfast has been extraordinary also there is something going on in the bar at night ,18,11,7.5,"[' Business trip ', ' Solo traveler ', ' Executive Double Room with Spa Access ', ' Stayed 2 nights ']",515 day,45.4867005,9.157513699999999,"45.4867005,9.157513699999999",Milano
259954,9 rue Git le Coeur 6th arr 75006 Paris France,49,11/30/2015,8.9,Relais H tel du Vieux Paris, Ireland , The pub was too close so too easy to drink too much haha,14,464, The Staff were delightful and spoke slow french so I could understand They were overly helpful and even upgraded us The location is perfect the seine to one side and the small cobble locked streets of st michel to the other The decor was beautiful relaxed like an old wooden cottage in the middle of nowhere Incredible Home in the middle of Paris ,65,3,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 1 night ']",612 day,48.85386079999999,2.3429487,"48.85386079999999,2.3429487",Paris
16257,1 Waterview Drive Greenwich London SE10 0TW United Kingdom,1258,3/13/2017,9.4,Intercontinental London The O2, United Kingdom , Didn t have a view this time Was looking at pipes,12,4204,No Positive,0,7,9.6,"[' Leisure trip ', ' Group ', ' Superior King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",143 day,51.5024348,-0.0002497,"51.5024348,-0.0002497",London
456347,Spaarndammerdijk 304 Westerpark 1013 ZX Amsterdam Netherlands,252,6/9/2016,8.5,WestCord Art Hotel Amsterdam 4 stars, Ireland , Breakfast sausages not great,5,1712, Great steak dinner and good value to,8,4,10.0,"[' Leisure trip ', ' Couple ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",420 day,52.3924898,4.8683822,"52.3924898,4.8683822",Amsterdam
34601,11 Rue Du Temple 4th arr 75004 Paris France,119,8/11/2015,8.6,H tel Duo, New Zealand , I be stayed at hotel Duo many times I have no dislikes,13,883, A fantastic location safe secure very clean comfatable rooms,10,7,10.0,"[' Leisure trip ', ' Solo traveler ', ' Single Room with Shower ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",723 day,48.8581186,2.3529369,"48.8581186,2.3529369",Paris
500743,Wagramer Stra e 16 18 22 Donaustadt 1220 Vienna Austria,198,5/10/2017,8.6,Park Inn by Radisson Uno City Vienna, Romania , The price a little too high ,8,2341, Nice room good breakfast Everything perfect ,8,71,9.2,"[' Leisure trip ', ' Family with young children ', ' Standard Double or Twin Room ', ' Stayed 2 nights ']",85 days,48.2340799,16.421009299999998,"48.2340799,16.421009299999998",Wien
99171,20 Nevern Square Kensington and Chelsea London SW5 9PD United Kingdom,305,12/1/2015,8.3,Twenty Nevern Square Hotel, United Kingdom ,No Negative,0,1719, staff and location,4,34,8.3,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ']",611 day,51.4915712,-0.1963192,"51.4915712,-0.1963192",London
287294,Bloomsbury Way Camden London WC1A 2SD United Kingdom,387,10/11/2016,8.5,Thistle Holborn The Kingsley, United Kingdom , Always useful to have a robe and slippers in the room for comfort and more toiletries,17,1593, The room and bathroom were a a good size Bathroom was clean and modern Bed was comfy I had room service breakfast which was nice ,27,1,8.8,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",296 day,51.5179659,-0.12343430000000001,"51.5179659,-0.12343430000000001",London
491050,Via Spallanzani 40 Central Station 20129 Milan Italy,353,7/5/2017,8.1,Starhotels Ritz, United Kingdom , Being stuck in the lift for 35 mins,9,4248,No Positive,0,3,7.5,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",29 days,45.4779041,9.2094965,"45.4779041,9.2094965",Milano
510625,Wibautstraat 129 Oost 1091 GL Amsterdam Netherlands,975,4/21/2016,8.7,The Student Hotel Amsterdam City, Ukraine ,No Negative,0,7656, Comfortable and convinient room with great view of the city,11,4,10.0,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 1 night ']",469 day,52.354664899999996,4.9131640999999995,"52.354664899999996,4.9131640999999995",Amsterdam
481851,Via Manzoni 31 Milan City Center 20121 Milan Italy,153,9/2/2015,9.2,Armani Hotel Milano, Kuwait , one of the head of the staff was tufff to my children,13,835, everything was just perfect,5,1,8.8,"[' Leisure trip ', ' Family with young children ', ' Ambassador Suite ', ' Stayed 3 nights ']",701 day,45.470532,9.193019999999999,"45.470532,9.193019999999999",Milano
193446,46 Blackfriars Road Southwark London SE1 8NZ United Kingdom,231,3/4/2016,8.7,Novotel London Blackfriars, United Kingdom , nothing,2,1362, Bed was lovely and comfy breakfast was awesome,9,1,9.2,"[' Leisure trip ', ' Couple ', ' Superior Room with 1 Queen Bed ', ' Stayed 1 night ']",517 day,51.505016499999996,-0.10498310000000001,"51.505016499999996,-0.10498310000000001",London
247894,8 Northumberland Avenue Westminster Borough London WC2N 5BY United Kingdom,409,8/18/2015,8.3,The Grand at Trafalgar Square, United Kingdom , Nothin,2,1592, The location is perfect The Hotel is comfortable and Grand all of the staff we came into contact with were very helpful and friendly We d definitely stay again ,31,7,10.0,"[' With a pet ', ' Leisure trip ', ' Couple ', ' Standard Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",716 day,51.506935,-0.12601199999999999,"51.506935,-0.12601199999999999",City of Westminster
346670,Hoogoorddreef 66 Zuidoost 1101 BE Amsterdam Netherlands,196,10/21/2015,8.4,Holiday Inn Amsterdam Arena Towers, Israel , There wasn t one day that our room was cleaned only re fill towers and toilet paper ,19,1992,No Positive,0,1,5.0,"[' Leisure trip ', ' Group ', ' Standard Double Room ', ' Stayed 4 nights ']",652 day,52.309683500000006,4.9422614000000005,"52.309683500000006,4.9422614000000005",Amsterdam
322736,Excel 2 Festoon Way Royal Victoria Dock Newham London E16 1RH United Kingdom,853,4/2/2016,8.4,DoubleTree By Hilton London Excel, United Kingdom , The view not eo nice but that s not the hotels fault,13,2726, The room decoration was simple but nice loved the colours,11,15,10.0,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",488 day,51.507377000000005,0.038657,"51.507377000000005,0.038657",London
144683,31 34 Queen s Gate Kensington and Chelsea London SW7 5JA United Kingdom,524,7/19/2016,8.2,The Queens Gate Hotel, United States of America , The bathrooms were small and could have been a little cleaner There was some mold that should have been attended to Also the workmanship in some areas was not up to par ,34,2516, The location was great The staff was friendly Claudio was a wonderful bartender Beds and linens were comfortable and well appreciated at the end of a long day ,30,5,7.9,"[' Leisure trip ', ' Family with older children ', ' Standard Family Room ', ' Stayed 5 nights ']",380 day,51.4981225,-0.1799693,"51.4981225,-0.1799693",London
250843,8 rue Laferriere 9th arr 75009 Paris France,42,12/12/2016,8.7,H tel Arvor Saint Georges, Italy , Room too small,4,493, Staff,2,45,5.4,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",234 day,48.8785454,2.3384866,"48.8785454,2.3384866",Paris
414848,Plaza de Catalunya 19 Ciutat Vella 08002 Barcelona Spain,315,12/16/2016,9.3,Olivia Plaza Hotel, Malaysia , Choice of restaurant recommended by staff was poor,9,2757, Location courteous helpful staff,5,2,8.3,"[' Leisure trip ', ' Group ', ' Triple Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",230 day,41.386145899999995,2.1711593999999996,"41.386145899999995,2.1711593999999996",Barcelona
284018,Belgrove Street Camden London WC1H 8AB United Kingdom,392,9/22/2015,8.8,Megaro Hotel, United Kingdom ,No Negative,0,1803, Very helpful friendly staff room included espresso coffee m c and milk Also kettle etc Very good location for St Pancras and Kings Cross just across the road for an early start ,34,21,9.6,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ']",681 day,51.5294411,-0.12337449999999998,"51.5294411,-0.12337449999999998",London
328632,Gran V a De Les Corts Catalanes 570 Eixample 08011 Barcelona Spain,325,4/6/2017,8.2,Sunotel Central, Russia , On friday an saturnday there s loud music in a club under the hotel 1 floor We came tired late on friday and was settled into the worstest room in a hotel which right over the club There had been loud music and singing until 1 20 am and hotel s administrator cannot do nothing I m sure it s a usual story for this room on the first floor and near the far elevator The hotel shount settle here on friday an saturnday nights But greed is overcome Next day we has moved to the top floor where there s quite rooms Breakfast is expensive Near the hotel there s nice places with good breakfast for half the hotel price ,123,3870, The hotel is close to metro station There s a nice places with a good breakfast right near the hotel Catalynia place is 10 minutes of walk ,29,5,7.1,"[' Leisure trip ', ' Couple ', ' Basic Double Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']",119 day,41.3841429,2.1616896,"41.3841429,2.1616896",Barcelona
386701,Nieuwezijds Voorburgwal 67 Amsterdam City Center 1012 RE Amsterdam Netherlands,440,2/15/2017,8.9,INK Hotel Amsterdam MGallery by Sofitel, Ireland , Very small room really disappointing it should be shown in hotel pics that it s that small,18,2574, Clean and comfortable room perfect location,7,2,8.8,"[' Leisure trip ', ' Couple ', ' Classic Queen Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",169 day,52.3754926,4.892987799999999,"52.3754926,4.892987799999999",Amsterdam
442170,Scarsdale Place Kensington Kensington and Chelsea London W8 5SY United Kingdom,1831,12/12/2015,8.1,Copthorne Tara Hotel London Kensington, United Kingdom , No hash browns or fried bread available at breakfast and had to cook own toast No need to serve Chinese food at breakfast I have stayed at several hotels in China and they certainly don t serve British food when in Rome My room was very hot even with Air con on lowest setting ,56,7105, Excellent service Friendly and courteous staff Well appointed room ,11,4,9.2,"[' Business trip ', ' Solo traveler ', ' Superior Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",600 day,51.499046,-0.1917073,"51.499046,-0.1917073",London
271342,Apollolaan 138 Oud Zuid 1077 BG Amsterdam Netherlands,168,4/16/2016,8.3,Hilton Amsterdam, Andorra ,No Negative,0,1064, I have stayed here many times before It s a very nice hotel Clean comfortable all the facilities you might need and pleasant and helpful staff ,28,41,9.6,"[' Business trip ', ' Solo traveler ', ' King Deluxe Guest Room ', ' Stayed 1 night ']",474 day,52.351380999999996,4.872723000000001,"52.351380999999996,4.872723000000001",Amsterdam
96166,20 Chesham Place Kensington and Chelsea London SW1X 8HQ United Kingdom,197,3/15/2016,9.2,The Hari London, United Kingdom ,No Negative,0,635, Staff were excellent friendly helpful Rooms were on the small side but beautiful a very comfy bed much needed after doing the sights shops in London A lovey touch being a birthday card cake a bottle of fizz once they knew it was my birthday ,47,2,9.6,"[' Leisure trip ', ' Group ', ' Superior King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",506 day,51.4973203,-0.1562558,"51.4973203,-0.1562558",City of Westminster
236361,7 Pepys Street City of London London EC3N 4AF United Kingdom,1936,3/17/2017,8.7,DoubleTree by Hilton Hotel London Tower of London, United Kingdom ,No Negative,0,7491, The hotel location was great next to the tube station Modern clean and today hotel rooms with a comfy bed Great views from the rooftop bar would stay again ,31,2,10.0,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",139 day,51.5108412,-0.0780581,"51.5108412,-0.0780581",City of London
334445,Great Cumberland Place Westminster Borough London W1H 7DL United Kingdom,1190,2/10/2016,7.5,The Cumberland A Guoman Hotel, United Kingdom , lifts were a pain having to put card in,10,5180, excellent choice of breakfast,5,1,9.6,"[' Business trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 1 night ']",540 day,51.514879,-0.1606501,"51.514879,-0.1606501",City of Westminster
